,acc,f1,loss,precision,recall
0,0.9811580427319898,0.8946471862661786,0.05625369379908247,0.9412958129963963,0.8598105494745709
1,0.9946150644879576,0.9691718532881978,0.018038310439243047,0.9829577311139341,0.9573348216803045
2,0.997163580627832,0.9840146593763823,0.009989918216822224,0.9920916136914313,0.9769341841616542
3,0.9984644953897955,0.9913510767374752,0.0058416620403664065,0.9967920548627565,0.9864624723896946
4,0.9989230143131541,0.9939052138813627,0.00404496167211642,0.9970712547033778,0.9911271060496969
5,0.9994775019161837,0.9970217689519041,0.002682819486472348,0.998173470963901,0.9960258164164811
6,0.9996054609692867,0.9978104661537605,0.0019065905429699332,0.9989016913025331,0.9968431508167387
7,0.9997334194122334,0.9984800141054472,0.0015456286163360682,0.9991288928900174,0.99792824670129
8,0.999626786908658,0.9979159581531566,0.001651013428607499,0.999056269767112,0.9969318395994141
9,0.9997760725112885,0.998767573331612,0.0011804004737637193,0.9991547659582918,0.998449846024858
