,acc,f1,loss,precision,recall
0,0.9768714120124138,0.8667256274439933,0.06943987615261124,0.9102095429285627,0.8340998649597168
1,0.9902537983499577,0.9444866419601197,0.030516955606110265,0.960634760694937,0.9314820374423544
2,0.9939432816557295,0.9659695875545533,0.020265172847373242,0.9769651393438865,0.9566446233543157
3,0.9952975132186216,0.9737240717491887,0.013760711997285633,0.9807816329096954,0.9680472330641304
4,0.9968116934758612,0.9820169088860314,0.009545505818775637,0.9871522051664171,0.9777659970830819
5,0.9979846502830032,0.9885577568547206,0.005871919558654043,0.9913122792161586,0.9863698683559933
6,0.9987097494280346,0.9927167155387229,0.003950840943080021,0.9946594536037531,0.9911580083923925
7,0.9987843924123968,0.9931719918473745,0.0036166751996090578,0.9948636217904411,0.9918193175254231
8,0.99883770774895,0.9934266981831439,0.003438571833977708,0.9942419164392785,0.9928774086237716
9,0.9993175533438675,0.9961087694857568,0.0024155379498491548,0.9970450504422569,0.9953569102272039
