,acc,f1,loss,precision,recall
0,0.8880784879948036,0.5397464356739705,0.3305024450624592,0.592249884013556,0.5628683054210738
1,0.9542653151299811,0.695311580677484,0.16908521337419158,0.8622214512571797,0.5885609367796799
2,0.9595329611711753,0.7316974173351808,0.135268665890204,0.8970207095985144,0.623914360168723
3,0.9633504103790547,0.7601204221857257,0.11738844968840928,0.9096150361873825,0.6593515179055056
4,0.966783974343054,0.7845325158867253,0.10559120920420609,0.9230770805441868,0.6893954870339318
5,0.9699083077320286,0.807617134050307,0.09582559804426731,0.9328725441174864,0.7185986655496742
6,0.9719876448618473,0.822957687254373,0.08928312166896067,0.9354944002147828,0.7409981413445866
7,0.9748453958020787,0.8426971414496482,0.08300198287305662,0.9444996694914439,0.7671277758637378
8,0.9758797321347037,0.8506420383831667,0.0793750510887694,0.9456115532058672,0.7792146737615191
9,0.9766688118740602,0.8552198793975039,0.07491346132808668,0.947647011745304,0.7849135544234488
