,acc,f1,loss,precision,recall
0,0.953924089643487,0.7609567375268528,0.13511269018387687,0.8812816576780758,0.6856048477207021
1,0.9819044718434242,0.8902316443064391,0.05969829634046486,0.9599244152515726,0.8350537210416885
2,0.9866069671822448,0.9204639370442962,0.044688443141683735,0.9682230497352298,0.8808422431530895
3,0.9891128308332203,0.9359417683637379,0.03658000248045168,0.9735951548727063,0.9042824022295531
4,0.9910108876243586,0.9477482775580174,0.030825455425997156,0.9781190010651669,0.9220615559026971
5,0.9924184378339019,0.9557827618285317,0.026192573394080574,0.9800966569192121,0.93484379225485
6,0.993314148871775,0.961070361781105,0.023581254652684038,0.9832326531486487,0.9419204242093702
7,0.9941885374024062,0.9667349528290108,0.02051743208713739,0.9859452443479805,0.9497983185434982
8,0.9950735844562089,0.9719784495621557,0.01806714556186495,0.9860979139995514,0.95957323196067
9,0.9954787893853582,0.9743383766364685,0.016253377981984455,0.9889670858303858,0.9614240037273766
